Date,Recorded,Moving Average
9/30/2024,138,138
10/1/2024,139,138.1
10/2/2024,137,138.1
10/3/2024,138,138.1
10/4/2024,139,138.2
10/5/2024,138,138.3
10/6/2024,138,138.5
10/7/2024,138.8,138.7
10/8/2024,137.7,138.7
10/10/2024,139.1,139
10/11/2024,140,139
10/12/2024,140.5,139
10/13/2024,139.1,138.9
10/14/2024,139.6,138.9
10/16/2024,140.1,139
10/17/2024,139.4,138.9
10/18/2024,139.2,138.9
10/20/2024,139.2,138.9
10/21/2024,139.1,138.9
10/22/2024,136.7,138.7
10/23/2024,137.5,138.8
10/24/2024,138,138.9
10/26/2024,139,139.1
10/27/2024,137.9,139.1
10/28/2024,136.9,139.1
10/29/2024,137.3,139.2
10/30/2024,138.8,139.4
11/1/2024,141.3,139.8
11/3/2024,138.9,139.9
11/4/2024,139.2,140
11/5/2024,139.1,140.1
11/9/2024,140.1,140.7
11/12/2024,141.1,141.3
11/13/2024,140.7,141.4
11/18/2024,144,142.5
11/19/2024,143.5,142.6
11/20/2024,142.2,142.7
11/21/2024,142.3,142.9
11/22/2024,142.5,143.1
12/1/2024,146.5,144.7
12/2/2024,146.3,144.7
12/3/2024,146.5,144.8
12/4/2024,144,144.8
12/5/2024,143,144.8
12/7/2024,146,145.1
12/8/2024,145.1,145.1
12/9/2024,144.3,145.2
12/11/2024,145.7,145.4
12/12/2024,144.7,145.5
12/13/2024,145.3,145.6
12/15/2024,146,145.8
12/19/2024,145.5,146.1
12/20/2024,145.3,146.2
12/27/2024,148.1,147.3
12/29/2024,148.2,147.5
12/30/2024,146.6,147.5
12/31/2024,147,147.6
1/5/2025,148.1,148.2
1/6/2025,150.4,148.4
1/7/2025,148.3,148.4
1/8/2025,148.5,148.5
1/9/2025,148.8,148.7
1/11/2025,148.3,148.8
1/16/2025,150,149.5
1/31/2025,150.6,150.6
2/1/2025,149.6,150.6
2/2/2025,148.7,150.7
2/3/2025,149.7,150.8
2/5/2025,150.8,151.1
2/7/2025,153,151.5
2/9/2025,152.6,151.6
2/10/2025,152.6,151.7
2/11/2025,151.6,151.7
2/12/2025,151.3,151.8
2/13/2025,151.8,151.9
2/14/2025,151.8,151.9
2/15/2025,151.1,152
2/16/2025,150.6,152
2/19/2025,153,152.5
2/21/2025,152.8,152.7
2/24/2025,152.5,152.9
2/25/2025,151.8,153
2/26/2025,151.2,153.1
2/28/2025,154,153.5
3/3/2025,156,154
3/4/2025,155.2,154.1
3/5/2025,156.2,154.2
3/7/2025,152.6,154.1
3/8/2025,153.6,154.3
3/11/2025,154.6,154.5
3/25/2025,156,155.7
3/28/2025,155.6,155.8
3/29/2025,156.4,155.9
3/31/2025,154,155.9
4/4/2025,157,156.4
4/6/2025,156.2,156.5
4/7/2025,155.8,156.6
4/10/2025,157.5,157
4/11/2025,158.8,157.1
4/14/2025,157.6,157.3
4/16/2025,158,157.4
4/18/2025,157.4,157.4
4/21/2025,159.4,157.6
4/23/2025,158,157.5
4/25/2025,157.5,157.4
4/26/2025,156,157.2
4/28/2025,157.6,157.1
4/29/2025,158,157.1
4/30/2025,156.7,156.8
5/1/2025,156.3,156.6
5/2/2025,156.4,156.4
5/3/2025,156.6,156.3
5/7/2025,155.5,155.5
5/8/2025,154.8,155.2
5/9/2025,154,154.9
